country;iso;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Bahrain;BHR;21713.53805;21681.0283;21866.04923;22348.90481;22325.70308;22027.33131;21783.85153;22013.75842;21918.00506;21157.79342;21452.92152;21906.74643;22484.85482;23012.70834;23107.95659;22795.44886;22810.77492;23019.25574;23023.11978;23414.21907;22510.40408
Bahamas, The;BHS;32823.80576;33214.16875;33665.57034;32799.13686;32645.12485;33295.93274;33663.54892;33672.97124;32425.58808;30627.33786;30664.02592;30470.24837;31072.84567;29902.24342;30182.19433;30206.24043;29699.1856;30371.58098;30705.60197;31082.8061;23566.57533
Bosnia and Herzegovina;BIH;2554.552539;2606.738563;2735.522879;2851.260618;3061.537538;3218.579603;3423.108456;3669.00015;3931.997486;3878.422873;3980.42425;4091.563324;4133.883971;4297.474001;4403.653938;4599.901029;4803.861295;5015.224234;5263.848266;5476.355762;5373.168757
Belarus;BLR;2616.912993;2754.66447;2912.123361;3139.120986;3522.489851;3880.01437;4294.228672;4684.980291;5180.712344;5203.854887;5621.937175;5938.22068;6047.871129;6110.904667;6212.912772;5967.052204;5811.197944;5964.892944;6165.90933;6264.860965;6247.431909
Belize;BLZ;5693.741485;5795.345531;5903.978933;6259.038916;6353.227391;6301.915865;6400.181438;6421.955138;6148.522801;5955.111038;5881.382237;5742.670206;5831.158848;5960.360401;6069.46148;6142.478833;6024.835945;5806.065449;5756.852249;5907.348872;5040.122521
Bermuda;BMU;109001.586;115619.4747;113172.1206;116268.8169;118193.1487;119396.4494;125294.9594;128757.8807;125610.0334;117886.738;115839.796;112471.3475;106119.795;105492.4807;101374.4698;102005.6256;102407.3944;107237.0318;106697.7375;107036.2393;99745.24161
Bolivia;BOL;2017.394606;2015.377477;2029.617941;2048.559815;2097.258351;2152.361967;2216.544706;2277.503824;2376.078087;2414.129943;2471.47363;2556.830266;2643.690813;2777.720529;2882.806893;2975.648811;3054.892547;3135.031644;3219.200886;3242.948843;2920.197443
Brazil;BRA;6745.865881;6749.889719;6868.704165;6865.181505;7178.356116;7325.912358;7534.551559;7909.834758;8231.110269;8142.770839;8673.908812;8935.288057;9025.324848;9216.14336;9183.470768;8783.225984;8426.853352;8470.950789;8553.876187;8592.221538;8204.202726
Barbados;BRB;16698.06105;16258.84218;16320.56803;16610.53694;16781.89833;17382.7728;18380.66991;18692.12112;18729.59024;17714.67524;17237.77116;17071.05344;16953.43554;16667.73838;16615.50544;16990.21947;17385.20075;17430.87321;17220.931;17168.14569;14855.68986
Brunei Darussalam;BRN;33986.08738;34219.58437;34857.67208;35203.07073;34750.85165;34290.38511;35213.50015;34714.81796;33526.27087;32450.08994;32810.76615;33577.32906;33456.53296;32342.14776;31155.99337;30681.67944;29601.33333;29696.11841;29438.1007;30313.65639;30402.08706
Bhutan;BTN;1115.626099;1176.654075;1272.632676;1338.509564;1385.397381;1456.480787;1535.428927;1795.073019;1859.071722;1961.940105;2171.91129;2319.592527;2411.898057;2436.861451;2551.484823;2695.638773;2889.495868;2998.475263;3065.85565;3219.643671;2878.437705
Botswana;BWA;4917.108685;4831.662503;5030.138976;5171.411466;5219.283517;5359.884661;5700.076803;5912.921536;5982.511824;5031.857331;5428.15993;5684.215237;5566.542084;6067.846155;6291.244109;5869.732943;6166.085179;6287.597986;6418.571887;6485.457267;5810.94831
Central African Republic;CAF;445.8032915;455.3383787;461.4980841;426.1595794;442.0152346;436.1002636;447.808105;459.7460648;459.5624556;488.3880234;500.5292757;513.594265;534.8835608;338.1657046;338.7003837;351.8797536;362.2183299;371.6031298;378.2630765;381.4140451;375.2169228
Canada;CAN;37923.48646;38185.21967;38912.20974;39257.7619;40093.80734;40989.52682;41646.41464;42097.43512;42063.63305;40368.29204;41155.32364;42036.99784;42315.80739;42846.2842;43635.09548;43596.13554;43536.9134;44325.48834;44917.48373;45109.24449;42258.69102
Central Europe and the Baltics;CEB;7410.849282;7694.877666;8024.93508;8379.009382;8892.685427;9364.359678;10006.531;10689.75742;11150.36656;10780.41564;10975.05314;11387.85823;11508.32726;11609.47204;12007.90676;12520.33649;12897.532;13589.4809;14288.87135;14872.11265;14398.09972
Switzerland;CHE;73749.9388;74439.4636;73824.38488;73254.95291;74718.68361;76282.98396;78893.80774;81254.17005;82481.06804;79585.52159;81315.42286;81874.33619;81964.88642;82479.92154;83394.37114;83806.4476;84611.09985;84967.58855;86756.60213;87123.66044;84434.77849
Channel Islands;CHI;;;;;;;;;;;;;;;;;;;;;
Chile;CHL;8550.711454;8722.575326;8904.537903;9227.912116;9746.183042;10214.73255;10727.10263;11171.41947;11479.28156;11234.96794;11773.00412;12382.37917;13017.06753;13318.59489;13421.53802;13569.9478;13644.62293;13615.52353;13906.77022;13765.11825;12767.30391
China;CHN;2193.892991;2359.568217;2557.887094;2797.171718;3061.827764;3390.71017;3800.759082;4319.023769;4711.635127;5128.895068;5647.058752;6152.686005;6591.650851;7056.410627;7532.771996;8016.431435;8516.513699;9053.212733;9619.192484;10155.49294;10358.25945
Cote d'Ivoire;CIV;1809.920795;1725.155936;1636.446946;1521.884837;1534.076712;1514.620553;1523.233053;1507.089591;1545.880088;1568.021131;1640.315029;1520.342298;1602.910918;1739.155189;1858.615347;1941.566336;2027.939729;2121.603009;2210.325815;2289.376521;2276.839523
Cameroon;CMR;1137.624523;1156.050387;1175.87167;1206.610508;1256.693646;1250.058879;1262.871902;1281.39248;1281.019833;1277.181615;1277.265689;1283.567037;1305.668029;1332.86;1366.96659;1399.675331;1420.029867;1429.23468;1445.267766;1454.564064;1419.328204
Congo, Dem. Rep.;COD;339.969435;322.9300235;322.4400384;330.5489733;342.459983;352.321215;359.4280566;369.8407386;380.4948944;379.0548651;393.0274343;406.2010116;420.6293478;441.0129597;466.4249271;482.0645483;476.8148846;477.8478711;489.382354;494.8192269;487.4331126
Congo, Rep.;COG;2057.767151;2057.200356;2101.690641;2060.938941;2061.348201;2142.705976;2228.585458;2005.960069;2062.970186;2212.361862;2333.074237;2308.423468;2468.558484;2392.688741;2493.088063;2347.818499;2045.202259;1909.365875;1774.613901;1731.79988;1586.318297
Colombia;COL;4003.840324;4007.383076;4045.160407;4141.857865;4300.879451;4447.405926;4684.885103;4938.939283;5041.878748;5041.962558;5209.544008;5510.900488;5667.293728;5899.554495;6106.862095;6228.426299;6290.852117;6280.663838;6320.762084;6403.877096;5865.654095
Comoros;COM;1202.13131;1205.509109;1208.589856;1210.028452;1209.863042;1219.991159;1227.482823;1212.751653;1235.652745;1249.839329;1270.302578;1295.204313;1307.972953;1337.397645;1336.489622;1322.936695;1337.527789;1360.431104;1383.377789;1381.622155;1352.955411
Cabo Verde;CPV;1844.53807;1854.512058;1921.892224;1973.554935;2145.774604;2265.03467;2416.173843;2750.476982;2901.192121;2834.882367;2845.702357;2923.260502;2919.779874;2910.099444;2894.987054;2891.884482;2994.198325;3068.990292;3172.960459;3318.932781;2801.049151
Costa Rica;CRI;7646.026942;7768.438519;7898.632694;8109.824442;8340.829384;8545.746794;9041.386288;9647.860353;9966.047881;9746.490149;10137.5816;10453.52198;10832.75615;10975.69576;11240.71096;11529.95453;11893.32259;12267.16135;12470.95672;12662.42214;12058.00291
Caribbean small states;CSS;8093.196535;8202.9837;8439.69888;8851.901797;9140.729495;9411.859929;9988.045778;10262.46328;10326.02993;9903.00175;9975.782445;10026.67639;10280.68379;10358.11043;10513.14103;10473.83445;10218.92115;10121.61488;10156.98773;10216.97255;9227.991074
Cuba;CUB;4113.507265;4231.82114;4280.234412;4431.00284;4675.808084;5189.950033;5808.664725;6225.38023;6477.804699;6567.987282;6720.677673;6903.94022;7105.433676;7292.738255;7362.341667;7683.757891;7721.791846;7865.371561;8048.01661;8042.948524;7172.519257
Curacao;CUW;21523.64598;22171.06563;22231.8794;21840.8914;21512.11169;21112.32201;20913.66312;21011.15715;21202.4306;20952.89993;20706.43754;20539.36021;20356.18194;19963.34558;19459.49436;19260.26985;18890.75873;18504.30566;18198.66427;17796.69991;14748.89551
