country;iso;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Ecuador;ECU;-0.63;2.24;2.30;0.94;6.34;3.49;2.62;0.45;4.56;-1.11;1.82;6.11;3.96;3.35;2.26;-1.37;-2.69;0.79;-0.61;-1.88;-9.07
Egypt, Arab Rep.;EGY;4.19;1.43;0.27;1.06;2.00;2.42;4.78;5.02;5.08;2.65;3.04;-0.46;-0.06;-0.15;0.53;2.10;2.19;2.13;3.33;3.68;1.79
Euro area;EMU;3.52;1.80;0.45;0.14;1.73;1.16;2.75;2.47;-0.07;-4.83;1.94;1.94;-1.06;-0.56;1.06;1.74;1.57;2.40;1.54;1.47;-6.26
Eritrea;ERI;-4.62;5.71;-0.45;-6.54;-2.58;0.09;-2.63;-0.17;-12.17;1.25;0.12;6.65;;;;;;;;;
Spain;ESP;4.78;3.21;1.29;1.14;1.36;1.92;2.36;1.70;-0.71;-4.61;-0.30;-1.17;-3.02;-1.08;1.70;3.92;2.95;2.73;1.84;1.25;-11.76
Estonia;EST;9.56;6.68;7.45;8.28;7.44;10.15;10.41;8.07;-4.88;-14.46;2.68;7.59;3.60;1.82;3.28;1.79;3.13;5.66;3.42;3.35;-0.75
Ethiopia;ETH;2.98;5.18;-1.42;-4.96;10.36;8.69;7.75;8.32;7.69;5.79;9.42;8.05;5.62;7.58;7.31;7.46;6.50;6.62;4.00;5.52;3.28
European Union;EUU;3.78;2.04;0.88;0.55;2.21;1.56;3.16;2.81;0.32;-4.57;2.08;2.07;-0.85;-0.33;1.34;2.08;1.76;2.68;1.89;1.72;-5.75
Fragile and conflict affected situations;FCS;3.12;2.03;2.13;-1.26;8.43;3.33;3.35;3.56;2.56;0.38;4.35;-2.39;2.31;1.01;-0.15;-1.37;0.30;0.29;0.46;-0.05;-6.23
Finland;FIN;5.55;2.38;1.46;1.76;3.69;2.43;3.63;4.85;0.32;-8.51;2.71;2.07;-1.87;-1.36;-0.78;0.21;2.52;2.95;1.01;1.11;-2.35
Fiji;FJI;-2.77;0.93;2.16;0.01;4.28;-0.25;0.91;-1.69;0.35;-1.89;2.52;2.34;1.11;4.46;5.36;4.31;2.32;5.28;3.81;-0.52;-17.18
France;FRA;3.21;1.24;0.40;0.11;2.08;0.90;1.74;1.80;-0.30;-3.37;1.45;1.70;-0.17;0.06;0.48;0.75;0.83;1.99;1.50;1.50;-8.03
Faroe Islands;FRO;;;;;;;;;;;;;;;;;;;;;
Micronesia, Fed. Sts.;FSM;4.67;1.95;0.51;1.74;-2.76;2.50;0.50;-1.15;-1.67;1.88;2.53;2.90;-2.18;-4.01;-2.68;4.20;0.48;2.21;-0.24;0.77;-2.40
Gabon;GAB;-4.36;-0.50;-2.86;-0.48;-2.06;-0.23;-5.66;2.78;-6.34;-3.11;3.49;3.38;1.57;2.00;0.89;0.72;-0.73;-2.06;-1.54;1.57;-3.97
United Kingdom;GBR;3.72;1.76;1.34;2.64;1.76;1.97;1.41;1.77;-0.94;-5.23;1.63;0.28;0.75;1.14;2.44;1.58;1.39;1.75;1.09;1.03;-11.36
Georgia;GEO;3.84;6.44;6.42;11.81;6.45;10.29;10.04;13.17;2.73;-2.79;7.03;8.26;7.16;3.93;4.38;2.86;2.84;4.83;4.88;5.16;-6.82
